Clave,Entidad y municipio,Entidad,% Mecánica,% Temporal,% Herbicidas químicos,% Insecticidas químicos,% labor agricola,% bosque
01_001,  AGUASCALIENTES,AGUASCALIENTES,83.41329678,75.12372681,20.37608427,6.765959628,52.67603067,0.044764806
01_002,  ASIENTOS,AGUASCALIENTES,79.57629924,77.9399702,12.52046882,4.501609243,80.54605231,0.101570225
01_003,  CALVILLO,AGUASCALIENTES,38.03763441,59.93002112,14.9512997,7.54748756,24.32138267,0.650017086
01_004,  COSÍO,AGUASCALIENTES,91.22974261,47.51117318,19.28253574,7.912924846,77.86801573,0.025050634
01_005,  JESÚS MARÍA,AGUASCALIENTES,80.8681672,72.54870073,33.63714489,7.005522977,33.13666815,0.362997609
01_006,  PABELLÓN DE ARTEAGA,AGUASCALIENTES,93.12436805,43.81517909,37.74137847,17.11834406,63.50233532,1.146375381
01_007,  RINCÓN DE ROMOS,AGUASCALIENTES,85.63251288,51.54624218,29.20899138,12.81114636,79.67684226,0.006324138
01_008,  SAN JOSÉ DE GRACIA,AGUASCALIENTES,53.47776511,90.28898399,12.57678933,3.448924872,22.13672042,8.525249208
01_009,  TEPEZALÁ ,AGUASCALIENTES,87.58364312,59.43392542,23.46884756,6.929320411,74.8719763,0.02205077
01_010,  EL LLANO,AGUASCALIENTES,93.45040342,89.48589873,17.9396153,3.999781869,75.95932447,0.022843303
01_011,  SAN FRANCISCO DE LOS ROMO,AGUASCALIENTES,94.00749064,66.27233583,29.24575536,6.15473197,69.41311901,0.004131882
02_001,  ENSENADA,BAJA CALIFORNIA,59.21820303,51.57974463,13.71947893,13.4836179,7.933964616,0.804089764
02_002,  MEXICALI,BAJA CALIFORNIA,79.17019475,1.430270593,58.98132688,46.26346488,35.76853443,0.191166602
02_003,  TECATE,BAJA CALIFORNIA,62.60869565,54.73533229,12.77423675,10.60530906,9.860697257,2.780532315
02_004,  TIJUANA,BAJA CALIFORNIA,53.46534653,90.10867808,4.486643369,1.835604002,16.30663623,1.976651457
02_005,  PLAYAS DE ROSARITO,BAJA CALIFORNIA,66.32653061,43.78994311,14.06612122,5.688162792,9.207303283,0.017627735
03_001,  COMONDÚ,BAJA CALIFORNIA SUR,75.88075881,5.254832166,31.53922926,33.03127004,13.29651527,0.02272315
03_002,  MULEGÉ,BAJA CALIFORNIA SUR,43.41801386,35.54877384,7.056152269,10.68758748,3.718064375,0.001161414
